T,N,sim,beta_interactive.1,beta_interactive.2,beta_interactive.3,beta_interactive.4,beta_interactive.5,beta_within.1,beta_within.2,beta_within.3,beta_within.4,beta_within.5,sde_interactive.1,sde_interactive.2,sde_interactive.3,sde_interactive.4,sde_interactive.5,sde_within.1,sde_within.2,sde_within.3,sde_within.4,sde_within.5
20,30,0,1.3085164233170847,3.1194062130382485,4.300527957684512,1.8070539856048204,3.872147893171446,1.3672662152071642,3.3107082486197132,4.069045361835616,,,,,,,,0.07613857858389834,0.07279623016118565,0.13098069663797238,,
30,30,0,1.0314135444508001,2.938853670941604,5.032886653216088,2.076061830383969,3.9280225053946083,1.454930405250656,3.3633507273024854,5.267757327350596,,,,,,,,0.05393926587936653,0.054070661154904026,0.08180713903106589,,
40,30,0,1.0318166182083202,3.055784360606904,5.103618090291748,2.0418638268040334,3.82134374174273,1.3175579277156555,3.365921686387556,5.244824609987321,,,,,,,,0.048518259022767934,0.047518824035059797,0.0790571978711596,,
50,30,0,1.051702881104907,3.1779406255438847,4.684432325105334,2.0067190800802717,3.9893988576015396,1.3974212050643051,3.4798597159392832,3.900858479754365,,,,,,,,0.04352165786256265,0.04276782952791833,0.05566295133718906,,
60,30,0,0.9553471087917338,3.003957710834605,5.039198972487875,2.058038802927641,3.9127960572573457,1.4048074202198502,3.4086219503736688,3.1895824134954145,,,,,,,,0.03885845434569157,0.038193668762746366,0.056599489297442296,,
70,30,0,1.053200116507954,3.058787133514681,4.926126403749382,1.9873938588982059,3.971261869148818,1.380109644436703,3.374493561582277,3.793275419388528,,,,,,,,0.03514356771133322,0.03505322369685216,0.05108695613825724,,
80,30,0,0.9850687962741298,3.0250182928894085,4.898322097407779,1.9803130265835698,4.018923227924694,1.4043363648175502,3.4367798314252767,4.882307060245,,,,,,,,0.03448897441138557,0.03482956572448023,0.0590992937841617,,
90,30,0,1.0386835316598504,2.935056571188123,5.0535394051697065,2.0638990118374796,3.9458374228437485,1.428998336878404,3.3384196522285174,3.3224936717635187,,,,,,,,0.03246796709200495,0.03221130638922566,0.050986481063729466,,
100,30,0,1.042353804895362,3.0184536965019486,4.918445514778039,2.055470970936968,4.016273893889504,1.4315430402926712,3.4107659177470597,2.8498468848195384,,,,,,,,0.029538688987752183,0.02935668118037385,0.03863538381700417,,
10,40,0,1.1817694766640316,3.0978061078883306,4.5953433826060355,1.9526198604605036,3.6605107402501176,1.3415617844402683,3.3990146333089655,3.264013948955886,,,,,,,,0.08145218981788221,0.08425096964132764,0.13084375548481317,,
