T,N,mean_interactive.1,mean_interactive.2,bias_interactive.1,bias_interactive.2,sde_interactive.1,sde_interactive.2,ci_l_interactive.1,ci_l_interactive.2,ci_u_interactive.1,ci_u_interactive.2,rmse_interactive.1,rmse_interactive.2,mean_within.1,mean_within.2,bias_within.1,bias_within.2,sde_within.1,sde_within.2,ci_l_within.1,ci_l_within.2,ci_u_within.1,ci_u_within.2,rmse_within.1,rmse_within.2
20,20,1.0545829191799605,2.8826780219426382,0.0545829191799605,0.03910732601912059,,,,,,,0.0545829191799605,0.11732197805736178,1.0050376452255234,2.862364721724822,0.005037645225523413,0.04587842609172599,0.1040761981965999,0.1113610867206857,0.8010520451123351,2.6441010024730365,1.2090232453387117,3.0806284409766076,0.005037645225523413,0.13763527827517796
30,20,0.8473913138188216,3.052367934711036,0.1526086861811784,0.017455978237011987,,,,,,,0.1526086861811784,0.05236793471103596,0.8909610150681013,2.9655360565395275,0.10903898493189867,0.011487981153490848,0.0819535995755496,0.0808334326566702,0.7303349114966071,2.80710543978571,1.0515871186395955,3.123966673293345,0.10903898493189867,0.034463943460472546
40,20,1.126213453534433,3.1144876295324693,0.12621345353443303,0.03816254317748976,,,,,,,0.12621345353443303,0.11448762953246927,1.0787302030593588,3.035097399836287,0.07873020305935885,0.011699133278762375,0.0727222042823644,0.0720868993815682,0.9361973017895602,2.893809673291251,1.2212631043291575,3.1763851263813234,0.07873020305935885,0.035097399836287124
50,20,1.0235073925942402,3.128947754628524,0.023507392594240173,0.0429825848761746,,,,,,,0.023507392594240173,0.12894775462852381,0.9849045426132944,3.0464148170367014,0.01509545738670559,0.015471605678900454,0.0666675884112726,0.0662423965652661,0.8542384703910603,2.91658210551916,1.1155706148355287,3.1762475285542426,0.01509545738670559,0.04641481703670136
60,20,1.0059222212741972,3.011936254806212,0.00592222127419717,0.003978751602070692,,,,,,,0.00592222127419717,0.011936254806212077,1.0076351051167822,2.9674745482575,0.007635105116782226,0.010841817247499996,0.0581730923576878,0.0595177580329744,0.8936179392263919,2.8508218860723007,1.1216522710071726,3.0841272104426993,0.007635105116782226,0.03252545174249999
70,20,1.0456643259685023,3.0101040353171555,0.04566432596850234,0.0033680117723851786,,,,,,,0.04566432596850234,0.010104035317155535,1.0461293378821952,2.9973299191451503,0.0461293378821952,0.0008900269516165515,0.0523648248679964,0.050878129419628,0.9434961670841748,2.8976106178819117,1.1487625086802156,3.097049220408389,0.0461293378821952,0.0026700808548496546
80,20,1.0134781674908666,3.0490986593118627,0.01347816749086661,0.016366219770620916,,,,,,,0.01347816749086661,0.04909865931186275,0.9257494426472428,2.9423177878208784,0.07425055735275721,0.019227404059707204,0.0486625764732476,0.0512360405154328,0.8303725453647514,2.841896993700195,1.0211263399297343,3.0427385819415615,0.07425055735275721,0.05768221217912162
90,20,1.062786570483116,3.0037374719774306,0.06278657048311609,0.0012458239924768577,,,,,,,0.06278657048311609,0.003737471977430573,1.0175869274062652,2.961357748546953,0.017586927406265218,0.012880750484349038,0.047229830381848,0.0474514436851402,0.9250181608619075,2.8683546279096475,1.110155693950623,3.0543608691842583,0.017586927406265218,0.038642251453047116
100,20,0.9871443464322772,2.978693973863326,0.01285565356772278,0.007102008712224735,,,,,,,0.01285565356772278,0.021306026136674205,1.022476445073349,3.0371065201736958,0.022476445073349005,0.012368840057898586,0.0443240667602842,0.0441615545605358,0.935602870574843,2.950551463733745,1.109350019571855,3.1236615766136464,0.022476445073349005,0.037106520173695756
10,30,0.9553840036222532,3.0618811874349525,0.044615996377746825,0.02062706247831751,,,,,,,0.044615996377746825,0.06188118743495252,0.9510766136071708,2.991033270677577,0.04892338639282923,0.0029889097741409762,0.1190587837130914,0.1062088502620809,0.7177256854863676,2.782867749324491,1.184427541727974,3.1991987920306633,0.04892338639282923,0.008966729322422928
