T,N,mean_interactive.1,mean_interactive.2,mean_interactive.3,bias_interactive.1,bias_interactive.2,bias_interactive.3,sde_interactive.1,sde_interactive.2,sde_interactive.3,ci_l_interactive.1,ci_l_interactive.2,ci_l_interactive.3,ci_u_interactive.1,ci_u_interactive.2,ci_u_interactive.3,rmse_interactive.1,rmse_interactive.2,rmse_interactive.3,mean_within.1,mean_within.2,mean_within.3,bias_within.1,bias_within.2,bias_within.3,sde_within.1,sde_within.2,sde_within.3,ci_l_within.1,ci_l_within.2,ci_l_within.3,ci_u_within.1,ci_u_within.2,ci_u_within.3,rmse_within.1,rmse_within.2,rmse_within.3
10,30,1.3000642000810008,3.190996405385752,3.386071807137605,0.30006420008100076,0.06366546846191727,0.322785638572479,,,,,,,,,,0.30006420008100076,0.1909964053857518,1.613928192862395,1.3568114835924607,3.2928549800767204,4.111562685915761,0.35681148359246073,0.09761832669224013,0.17768746281684783,0.1034981817483795,0.101003197909993,0.1552626541026978,1.1539587749002562,3.0948923498497627,3.807253475730373,1.5596641922846652,3.490817610303678,4.415871896101149,0.35681148359246073,0.2928549800767204,0.8884373140842392
20,30,1.3136362129984531,3.300540729139389,2.373766543589236,0.3136362129984531,0.10018024304646304,0.5252466912821527,,,,,,,,,,0.3136362129984531,0.3005407291393891,2.626233456410764,1.4186546057052638,3.3757418021776298,4.039555396806643,0.4186546057052638,0.12524726739254324,0.19208892063867147,0.0666559389195851,0.065407460886486,0.103831219899039,1.2880113660671753,3.247545534519905,3.836049945333668,1.5492978453433524,3.5039380698353546,4.243060848279618,0.4186546057052638,0.37574180217762976,0.9604446031933573
30,30,1.0911800665909352,3.065422046594922,4.844081189723414,0.09118006659093525,0.021807348864974003,0.03118376205531721,,,,,,,,,,0.09118006659093525,0.06542204659492201,0.15591881027658605,1.4667953862320722,3.3237293464139874,4.260860430585953,0.4667953862320722,0.1079097821379958,0.14782791388280944,0.0563067415524356,0.0517466720091636,0.0803515266560813,1.3564362007024935,3.22230773295622,4.103374332237223,1.5771545717616509,3.425150959871755,4.418346528934682,0.4667953862320722,0.32372934641398743,0.7391395694140472
40,30,1.0738796449617778,2.829160440240519,5.032473207553915,0.07387964496177779,0.056946519919826986,0.006494641510782983,,,,,,,,,,0.07387964496177779,0.17083955975948095,0.03247320755391492,1.5300697775315029,3.3392818469254566,3.5934583479293187,0.5300697775315029,0.1130939489751522,0.2813083304141363,0.0494983817212972,0.0512123500815994,0.0947058133329993,1.4330547320647447,3.2389074852018647,3.407838364670067,1.627084822998261,3.4396562086490485,3.7790783311885705,0.5300697775315029,0.3392818469254566,1.4065416520706813
50,30,0.938009478860787,3.034309410742967,5.057841466021421,0.061990521139212995,0.011436470247655706,0.011568293204284253,,,,,,,,,,0.061990521139212995,0.03430941074296712,0.05784146602142126,1.3583037591172646,3.4105113228329262,4.3530299169979045,0.35830375911726464,0.13683710761097542,0.1293940166004191,0.0457686446301321,0.0456712874533963,0.0647916092380457,1.268598864020993,3.3209972442966933,4.2260406963909425,1.4480086542135362,3.500025401369159,4.480019137604867,0.35830375911726464,0.41051132283292624,0.6469700830020955
60,30,1.0470001547156134,3.039468631114113,4.896822216558503,0.04700015471561336,0.013156210371370936,0.020635556688299417,,,,,,,,,,0.04700015471561336,0.03946863111411281,0.10317778344149708,1.4411516162299762,3.4095102920475835,4.2750092592732365,0.44115161622997623,0.13650343068252782,0.1449981481453527,0.0392096571153599,0.0400442193092693,0.0569555966717136,1.364302100437706,3.331025064412392,4.163378341078689,1.5180011320222464,3.4879955196827748,4.386640177467784,0.44115161622997623,0.4095102920475835,0.7249907407267635
70,30,0.9994054051711978,2.963531133558735,5.025720972269681,0.0005945948288021974,0.012156288813755042,0.0051441944539362796,,,,,,,,,,0.0005945948288021974,0.036468866441265124,0.025720972269681397,1.416021896463911,3.423217298307927,4.4560888086531945,0.4160218964639111,0.141072432769309,0.1087822382693611,0.0361144918596903,0.0376092316639884,0.0503393478636896,1.3452387930989531,3.3495045587602865,4.35742549983513,1.486804999828869,3.4969300378555674,4.554752117471259,0.4160218964639111,0.423217298307927,0.5439111913468055
80,30,0.9924242036610864,3.0101739994866645,5.025501896808024,0.007575796338913587,0.0033913331622215104,0.005100379361604723,,,,,,,,,,0.007575796338913587,0.010173999486664531,0.025501896808023616,1.3953143521589966,3.4010428749694617,4.350208559745511,0.3953143521589966,0.13368095832315388,0.12995828805089787,0.0347325699981767,0.0344483967251343,0.0490804439429082,1.3272397658720538,3.3335252580630508,4.254012657272174,1.4633889384459393,3.4685604918758726,4.446404462218847,0.3953143521589966,0.40104287496946167,0.6497914402544893
90,30,0.9877511237031016,2.9623183208248878,5.001389314249432,0.012248876296898414,0.01256055972503741,0.0002778628498864677,,,,,,,,,,0.012248876296898414,0.037681679175112226,0.0013893142494323385,1.340237313022467,3.358385729828401,4.188162700190478,0.34023731302246696,0.11946190994280033,0.16236745996190435,0.0333207893560052,0.0335994998766587,0.0542973210165168,1.2749297659482512,3.292531920171592,4.081741906541096,1.4055448600966827,3.42423953948521,4.294583493839861,0.34023731302246696,0.358385729828401,0.8118372998095218
100,30,0.9906546150131756,3.0429101590961998,4.995648191156681,0.009345384986824357,0.014303386365399925,0.000870361768663841,,,,,,,,,,0.009345384986824357,0.042910159096199774,0.004351808843319205,1.3187249819069269,3.415382041583769,4.1949010309448695,0.3187249819069269,0.138460680527923,0.1610197938110261,0.0314383138889286,0.0314000849359957,0.0511577881602178,1.2571070189499616,3.3538390059977186,4.094633608622113,1.3803429448638922,3.4769250771698195,4.295168453267626,0.3187249819069269,0.415382041583769,0.8050989690551305
10,40,0.837194908295581,2.9498908129185546,5.270576428273213,0.16280509170441904,0.016703062360481802,0.05411528565464252,,,,,,,,,,0.16280509170441904,0.050109187081445405,0.2705764282732126,1.4085313442714544,3.499418420709816,4.4261021604095045,0.40853134427145443,0.16647280690327193,0.1147795679180991,0.0891755840871938,0.0836673841697709,0.1217424876643312,1.2337504111602313,3.335433361056388,4.1874912691991035,1.5833122773826775,3.6634034803632436,4.664713051619906,0.40853134427145443,0.4994184207098158,0.5738978395904955
