r,T,N,sim,beta_interactive.1,beta_interactive.2,beta_interactive.3,beta_interactive.4,beta_interactive.5,beta_within.1,beta_within.2,beta_within.3,beta_within.4,beta_within.5,sde_interactive.1,sde_interactive.2,sde_interactive.3,sde_interactive.4,sde_interactive.5,sde_within.1,sde_within.2,sde_within.3,sde_within.4,sde_within.5
2,50,50,0,1.0303668616630945,3.1171334672937094,4.816348055551723,1.9743455687410274,3.9990256435906906,1.3495599298189935,3.447608728450878,2.8470661287381107,,,1.7237157795560678,1.7385911401534537,3.2868715465219163,1.614828896138259,1.7491795163303556,0.03455781501466435,0.033173568709983024,0.048392940939577564,,
2,50,50,1,0.9880247333785808,3.060495421570615,4.894245640537971,2.0022038902521055,3.9817441039717902,1.3233329543098211,3.3945850459255515,5.339204580522327,,,1.5953373304976135,1.5664198135442278,2.798109992502067,1.4952612619503263,1.9743583602056682,0.03343544205149287,0.03320889480846125,0.06771947025692775,,
2,50,50,2,1.0160092077228444,3.0810718455079615,4.912350513739806,2.0187791643765802,3.9882072447895895,1.386900265419595,3.439311128544608,2.6178756141250803,,,1.5972969457793853,1.5693437592665156,3.1578530572236954,1.783792833469684,2.0361714796842905,0.03289108600588483,0.03218077598528827,0.04300196233836926,,
2,50,50,3,1.0823661737466037,3.046949614704717,4.781631072390766,1.9653876222740625,3.9927393217459137,1.4308271449870602,3.3469866996468394,3.7634259329080213,,,1.727484747077467,1.6859307019457073,3.1210634322287083,1.9383247856314376,2.29305079513376,0.03494611102574798,0.03429460148636222,0.04986978614443842,,
2,50,50,4,0.9107072800679723,2.9877748199705136,5.146487065961496,1.996163284648881,4.027300146507661,1.347482934461622,3.427033952420693,4.88039151090629,,,1.63292793913611,1.6742784543570344,2.364797005460503,1.474748591577092,2.084966727489169,0.0329222011176403,0.033681635937478194,0.05017545783494352,,
2,50,50,5,0.9734740684044225,3.026321304831592,5.142637627351391,1.9921733018154621,4.00537296272587,1.364773078580502,3.420700705028671,3.702118735037355,,,1.770883107438356,1.7618236080190508,2.8480140331017076,1.7716166036358547,1.9852939190313583,0.034367262792808495,0.03455605847225887,0.04668923201253884,,
2,50,50,6,1.0878115954103533,3.08543047219616,4.460331830534587,2.1461104699595346,4.139859843648862,1.41795336989581,3.3644216401113276,4.80790823522891,,,1.924705288663974,1.8676630515152797,6.297711059580105,2.902862901555454,2.640340076222274,0.03226167766099921,0.032825844322211764,0.04804015828658931,,
2,50,50,7,1.0772808840163715,3.011270199949699,4.872153184611505,1.9382647352363707,4.041678560957658,1.4301407312255003,3.3826339025647814,3.7249437062416613,,,1.6847555707875042,1.631314044065082,2.929919586107649,1.670158446666207,2.0375655102954107,0.03336061872070008,0.03287394743617374,0.048798101209486695,,
2,50,50,8,1.0308933266756832,2.9930176852655936,4.950800183626472,1.963484948975094,4.005668808810023,1.401146720968411,3.3845195389000358,3.9391723678359964,,,1.5532313596058296,1.5744213750370615,2.386755368026985,1.48724756471159,1.6578191547846024,0.032583898690849065,0.032817319554334444,0.051793334848347874,,
2,50,50,9,1.0513718931388092,3.099583083678751,4.879458395592747,1.9188412317056984,4.0760051341784145,1.348424933595006,3.441137085113385,3.5884195638303122,,,1.7788582216910294,1.7518921789479929,3.153224963094421,1.545916492889522,2.3360881375181894,0.03613099082161015,0.03529601981464161,0.05457544514606017,,
